url	kind	scripts
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/686302eda925dd5c1687cecd_2016-mizuho-international-plc-annual-report.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/68630302eca4998ff565c8ea_2015-mizuho-international-plc-annual-report.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/6864747a2fb833ca68387b1e_mhi-consolidated-pillar-3-disclosure-2024-final.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/68647496be5f9b72fe43c3f9_mhi-consolidated-pillar-3-disclosure-2023-final.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/686474abd90349ac917e208a_2022-mhi-consolidated-pillar-3-disclosure.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/6864754eb71eb72dcfb8ec06_2021-mizuho-international-plc-pillar-3-disclosure.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/686475629a3272fed34cef93_2020-pillar-3-disclosure.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/686475789a3272fed34cf5a7_2019-pillar-3-disclosure.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/6864758d6847432aa76ef044_2018-pillar-3-disclosure.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/6864759fa4cb331151bf5ee9_2017-pillar-3-disclosure.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/686475b6c99b915dfa9735fb_2016-pillar-3-disclosure.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/686475c97ce484821ccefc82_2015-pillar-3-disclosure.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/686475e150ef186144c44568_2014-pillar-3-disclosure.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/6949753a5e4af5e79887a666_MIzuho_MHI_Annual_Report_2025.pdf	live	build_mizuho_international.py
https://cdn.prod.website-files.com/67cb23eaf0c6c4d4080e059a/6a903f20d82fcd0100158b9f_MHI%20consolidated%20Pillar%203%20disclosure%202025.pdf	live	build_mizuho_international.py
https://chetwoodbank.co.uk/documents/chetwood-bank-annual-report.pdf	live	build_chetwood.py
https://chetwoodbank.co.uk/documents/chetwood-bank-pillar-three-disclosures.pdf	live	build_chetwood.py
https://clear.bank/uploads/assets/ClearBank-Annual-Report-2016.pdf	live	build_clearbank.py
https://clear.bank/uploads/assets/ClearBank-Annual-Report-2017.pdf	live	build_clearbank.py
https://clear.bank/uploads/assets/ClearBank-Annual-Report-2018.pdf	live	build_clearbank.py
https://clear.bank/uploads/assets/ClearBank-Annual-Report-2019.pdf	live	build_clearbank.py
https://clear.bank/uploads/assets/ClearBank-Annual-Report-2020.pdf	live	build_clearbank.py
https://clear.bank/uploads/assets/ClearBank-Annual-Report-2021.pdf	live	build_clearbank.py
https://clear.bank/uploads/assets/ClearBank-Annual-Report-2025.pdf	live	build_clearbank.py
https://clear.bank/uploads/assets/ClearBank-Annual-Report-and-Accounts-2023.pdf	live	build_clearbank.py
https://clear.bank/uploads/assets/ClearBank-Annual-Report-and-Accounts_2022.pdf	live	build_clearbank.py
https://clear.bank/uploads/assets/ClearBank-Pillar-3-2022.pdf	live	build_clearbank.py
https://clear.bank/uploads/assets/ClearBank-Pillar-3-2025.pdf	live	build_clearbank.py
https://clear.bank/uploads/assets/ClearBank-Pillar-3-Disclosure-2023.pdf	live	build_clearbank.py
https://clear.bank/uploads/assets/ClearBank-Pillar-3-disclosure-2021.pdf	live	build_clearbank.py
https://cms.griffin.com/griffin-assets/Griffin_Bank_Ltd_2023_Annual_Report_and_Financial_Statements_9c92dd2876.pdf	live	build_griffin_bank.py
https://cms.griffin.com/griffin-assets/Griffin_Bank_Ltd_Annual_Report_2024_b98c8d4c38.pdf	live	build_griffin_bank.py
https://cms.griffin.com/griffin-assets/Griffin_Bank_Ltd_Annual_Report_2025_edeb37eca7.pdf	live	build_griffin_bank.py
https://cms.griffin.com/griffin-assets/Griffin_Bank_Ltd_Pillar_3_30_Sept_2023_df3ca44acc.pdf	live	build_griffin_bank.py
https://danskebank.co.uk/-/media/danske-bank/uk/about-us/corporate-governance/annual-reports/northern-bank---annual-report-og-accounts-2020.pdf	live	build_northern_bank.py
https://fcmbuk.com/wp-content/uploads/2022/07/Pillar-III-Disclosures-FYE-2021-002.pdf	live	build_fcmb_uk.py
https://fcmbuk.com/wp-content/uploads/2023/09/FCMB-Bank-UK-Limited-Signed-Annual-Report-Financial-Statements-2022.pdf	live	build_fcmb_uk.py
https://fcmbuk.com/wp-content/uploads/2023/09/FCMB-Bank-UK-Limited-Signed-Audited-Accounts-2021.pdf	live	build_fcmb_uk.py
https://fcmbuk.com/wp-content/uploads/2023/09/Pillar-III-Disclosures-FYE-2022.pdf	live	build_fcmb_uk.py
https://fcmbuk.com/wp-content/uploads/2024/07/FCMB-Bank-UK-Limited-Audited-Accounts-2023.pdf	live	build_fcmb_uk.py
https://fcmbuk.com/wp-content/uploads/2024/08/Pillar-III-Disclosures-FYE-2023.pdf	live	build_fcmb_uk.py
https://fcmbuk.com/wp-content/uploads/2025/09/FCMB-Bank-UK-Limited-Audited-Accounts-2024-Signed.pdf	live	build_fcmb_uk.py
https://fcmbuk.com/wp-content/uploads/2025/09/Pillar-III-Disclosures-FYE-2024.pdf	live	build_fcmb_uk.py
https://fcmbuk.com/wp-content/uploads/2026/08/5.-Pillar-III-Disclosures-FYE-2025-30-June-2026.pdf	live	build_fcmb_uk.py
https://fcmbuk.com/wp-content/uploads/2026/08/SIGNED-FCMB-Bank-UK-Limited-Audited-Accounts-2025.pdf	live	build_fcmb_uk.py
https://fidbank.co.uk/assets/Uploads/NewFolder/FBUK-Pillar-3-Disclosure-2021.pdf	live	build_fidbank_uk.py
https://fidbank.co.uk/assets/Uploads/NewFolder/FBUK-Pillar-3-Disclosure-2022.pdf	live	build_fidbank_uk.py
https://fidbank.co.uk/assets/Uploads/NewFolder/FidBank-UK-Pillar-3-Disclosure-2023.pdf	live	build_fidbank_uk.py
https://fidbank.co.uk/assets/Uploads/NewFolder/FidBank-UK-Pillar-3-Disclosure-2024.pdf	live	build_fidbank_uk.py
https://files.bacb.co.uk/production/files/2014-Pillar-3-secured.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/2015-Pillar-3-secured.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/2019-Pillar-3.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/Annual-Report-2014-Final.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB-Annual-Report-2020.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_AnnualReportYE2018-complete-6.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_AnnualReportYE2019-print-3-opt.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_AnnualReportYE2021-1.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_AnnualReportYE2022_WEB-1proof-10.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_AnnualReportYE2023_WEB-06.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_AnnualReportYE2024_WEB-Final.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_AnnualReportYE2025_WEB-Final.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_AnnualReport_online-2017.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_AnnualReport_online-2018-v4.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_Pillar3-2021_v3.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_Pillar3YE2022-1.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_Pillar3YE2023-03-002.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_Pillar3_YE2024web-05.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/BACB_Pillar3_YE2025web-03.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/Pillar-3-2016-FINAL-June17.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/Pillar-3-2017-FINAL-24-May-2018.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/Pillar-3-2018_Final-secured.pdf	live	build_british_arab_commercial_bank.py
https://files.bacb.co.uk/production/files/Report-Financials-2015-FINAL-18032016.pdf	live	build_british_arab_commercial_bank.py
https://framerusercontent.com/assets/5YzVUZr8JQg4njsGLzu4ZBXBs8.pdf	live	build_lhv.py
https://framerusercontent.com/assets/6Jp4ZWQKQVS1wXUDoBneovYKzIo.pdf	live	build_lhv.py
https://framerusercontent.com/assets/OJpwHIE7Kzeo65KeJdj7ZrJGUk.pdf	live	build_lhv.py
https://framerusercontent.com/assets/ZBWKLmRUPe8T4hKrOicG3V2KYeE.pdf	live	build_lhv.py
https://framerusercontent.com/assets/srilZFyKHEx1zeu697l5ZFVMXoU.pdf	live	build_lhv.py
https://framerusercontent.com/assets/xqUVp5XxVe8i90y3LAxlQmmQg.pdf	live	build_lhv.py
https://gib-am.files.svdcdn.com/production/documents/2024-GIBUK-Pillar-3-disclosures-Board-approved.pdf	live	build_gulf_international_bank_uk.py
https://gib-am.files.svdcdn.com/production/documents/Fund-sustainability-related-documents/2023-GIBUK-Pillar-3-disclosures.pdf	live	build_gulf_international_bank_uk.py
https://gtbank-uk.files.svdcdn.com/production/media/GTBUK-Pillar-3-2022.pdf	live	build_guaranty_trust_bank_uk.py
https://hblbankuk.com/wp-content/uploads/2020/03/HBL-UK-2025-Pillar-III-Disclosure.pdf	live	build_hbl_bank_uk.py
https://hblbankuk.com/wp-content/uploads/2022/06/Pillar-III-Disclosures-2021.pdf	live	build_hbl_bank_uk.py
https://hblbankuk.com/wp-content/uploads/2023/06/HBL-UK-2022-Pillar-III-Disclosure-V1.pdf	live	build_hbl_bank_uk.py
https://hblbankuk.com/wp-content/uploads/2025/05/Pillar-III-Disclosure-2024.pdf	live	build_hbl_bank_uk.py
https://hodgebank.co.uk/wp-content/uploads/2024/07/Annual-report-Jan-25.01.24.pdf	live	build_julian_hodge_bank.py
https://hodgebank.co.uk/wp-content/uploads/2024/07/Hodge-Annual-Report-2020_2021.pdf	live	build_julian_hodge_bank.py
https://hodgebank.co.uk/wp-content/uploads/2024/07/Hodge-Annual-Report-April-04.04.23-optimised.pdf	live	build_julian_hodge_bank.py
https://hodgebank.co.uk/wp-content/uploads/2024/07/Hodge-Pillar-3-Document-2020_2021.pdf	live	build_julian_hodge_bank.py
https://hodgebank.co.uk/wp-content/uploads/2024/07/Hodge-pillar-3-11.03.24.pdf	live	build_julian_hodge_bank.py
https://hodgebank.co.uk/wp-content/uploads/2024/07/Hodge-pillar-3-19.06.23.pdf	live	build_julian_hodge_bank.py
https://hodgebank.co.uk/wp-content/uploads/2025/02/Hodge-annual-report-21.02.25.pdf	live	build_julian_hodge_bank.py
https://hodgebank.co.uk/wp-content/uploads/2026/02/Hodge-AR-28.01.26.pdf	live	build_julian_hodge_bank.py
https://home.barclays/content/dam/home-barclays/documents/investor-relations/ResultAnnouncements/FullYear2025Results/FY25-BBUKPLC-Pillar-3.pdf	live	build_barclays.py
https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2018/2018-barclays-bank-uk-plc-annual-report.pdf	live	build_barclays.py
https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2019/Barclays%20Bank%20UK%20PLC%20Annual%20Report%202019.pdf	live	build_barclays.py
https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2019/Barclays%20Bank%20UK%20PLC%20Pillar%203%20Report.pdf	live	build_barclays.py
https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2020/Barclays%20Bank%20UK%20PLC%20Pillar%203%20Report%202020.pdf	live	build_barclays.py
https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2020/Barclays-Bank-UK-PLC-2020-Annual-Report.pdf	live	build_barclays.py
https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2021/Barclays-Bank-UK-PLC-2021-Annual-Report.pdf	live	build_barclays.py
https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2021/Barclays-Bank-UK-PLC-Pillar-3-Report-2021.pdf	live	build_barclays.py
https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2023/BB-UK-Pillar-3-Report-2023.pdf	live	build_barclays.py
https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2023/Barclays-Bank-UK-Annual-Report-2023-Results-committee.pdf	live	build_barclays.py
https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2025/Barclays-Bank-UK-PLC-Annual-Report-2025.pdf	live	build_barclays.py
https://investorrelations.bankofireland.com/app/uploads/Annual-Report-UK-2024-web-version.pdf	live	build_bank_of_ireland.py
https://investorrelations.bankofireland.com/app/uploads/BOI-UKPLC-2023-Annual-Report.pdf	live	build_bank_of_ireland.py
