bank,frn,cluster_id,cluster_label,insufficient_data,CET1 Ratio_value,Tier 1 Ratio_value,Total Capital Ratio_value,Leverage Ratio_value,LCR_value,NSFR_value,MREL Ratio_value,CET1 Ratio_year,Tier 1 Ratio_year,Total Capital Ratio_year,Leverage Ratio_year,LCR_year,NSFR_year,MREL Ratio_year,CET1 Ratio_imputed,Tier 1 Ratio_imputed,Total Capital Ratio_imputed,Leverage Ratio_imputed,LCR_imputed,NSFR_imputed,MREL Ratio_imputed
KUWAIT FINANCE HOUSE,131818,1,low CET1 Ratio / low Total Capital Ratio,0,20.1,20.1,20.1,14.2,592.3,139.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
LHV,993767,1,low CET1 Ratio / low Total Capital Ratio,0,18.5,18.5,20.3,14.4,196.0,182.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
LLOYDS BANK,119278,1,low CET1 Ratio / low Total Capital Ratio,0,13.6,16.4,20.1,5.2,135.0,119.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
LLOYDS BANK CORPORATE MARKETS,763256,1,low CET1 Ratio / low Total Capital Ratio,0,13.7,31.8,31.8,8.4,169.0,133.0,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
MELLI BANK,207380,0,high CET1 Ratio / high Total Capital Ratio,0,56.0,56.0,56.0,75.0,679.0,153.75,26.62,FY2025,FY2025,FY2025,FY2016,FY2025,,,0,0,0,0,0,1,1
METHODIST CHAPEL AID,204508,0,high CET1 Ratio / high Total Capital Ratio,0,52.88,52.88,52.88,35.4,970.0,174.0,26.62,FY2023,FY2023,FY2023,FY2023,FY2023,FY2023,,0,0,0,0,0,0,1
METRO BANK,488982,1,low CET1 Ratio / low Total Capital Ratio,0,12.5,16.1,18.4,5.6,314.0,165.0,20.5,FY2025,FY2025,FY2025,FY2020,FY2025,FY2025,FY2021,0,0,0,0,0,0,0
MIZUHO INTERNATIONAL,119256,1,low CET1 Ratio / low Total Capital Ratio,0,20.0,20.0,20.0,4.2,268.7,122.5,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
MONUMENT BANK,849724,1,low CET1 Ratio / low Total Capital Ratio,0,20.0,22.12,22.12,3.9,589.0,560.0,26.62,FY2024,FY2023,FY2023,FY2024,FY2024,FY2024,,0,0,0,0,0,0,1
MONZO,730427,0,high CET1 Ratio / high Total Capital Ratio,0,55.92,55.92,56.67,15.53,1178.76,843.98,26.62,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,,0,0,0,0,0,0,1
