url	kind	is_pdf	cited_by
https://cdn.craft.cloud/019db931-b985-7148-ac09-8f1d1e20d1a6/assets/content/hampden/content/Hampden-Bank-Annual-Report-and-Financial-Statements-2024.pdf	live	pdf	build_hampden_co.py:-;build_hampden_co.py:AR2024_URL;build_hampden_co.py:CASH_FLOW_SOURCES;build_hampden_co.py:STATEMENTS_SOURCES
https://cdn.craft.cloud/019db931-b985-7148-ac09-8f1d1e20d1a6/assets/content/hampden/content/Hampden-Co-2022-Annual-Report-and-Financial-Statements.pdf	live	pdf	build_hampden_co.py:-;build_hampden_co.py:AR2022_URL;build_hampden_co.py:CASH_FLOW_SOURCES;build_hampden_co.py:STATEMENTS_SOURCES
https://cdn.craft.cloud/019db931-b985-7148-ac09-8f1d1e20d1a6/assets/content/hampden/content/Hampden-Co-Annual-Report-2021.pdf	live	pdf	build_hampden_co.py:-;build_hampden_co.py:AR2021_URL;build_hampden_co.py:CASH_FLOW_SOURCES;build_hampden_co.py:STATEMENTS_SOURCES
https://cdn.craft.cloud/019db931-b985-7148-ac09-8f1d1e20d1a6/assets/content/hampden/content/Hampden-Co-Annual-Report-and-Financial-Statements-2023.pdf	live	pdf	build_hampden_co.py:-;build_hampden_co.py:AR2023_URL;build_hampden_co.py:CASH_FLOW_SOURCES;build_hampden_co.py:STATEMENTS_SOURCES
https://cdn.craft.cloud/019db931-b985-7148-ac09-8f1d1e20d1a6/assets/content/hampden/content/Hampden-Co-plc-2023-Pillar-3-Disclosures.pdf	live	pdf	build_hampden_co.py:-;build_hampden_co.py:P3_2023_URL
https://cdn.craft.cloud/019db931-b985-7148-ac09-8f1d1e20d1a6/assets/content/hampden/content/Hampden_Bank_Annual_Report_2025_2026-06-09-100801_cggc.pdf	live	pdf	build_hampden_co.py:-;build_hampden_co.py:AR2025_URL;build_hampden_co.py:CASH_FLOW_SOURCES;build_hampden_co.py:STATEMENTS_SOURCES
https://cdn.prod.website-files.com/62b1c54534b6a11713c35c02/66a0e99ad693a6e63fe72544_TML_Pillar%203%202023%20Final.pdf	live	pdf	build_tandem.py:-;build_tandem.py:P3_2023_URL;build_tandem.py:RWA_BREAKDOWN_SOURCES
https://cdn.prod.website-files.com/62b1c54534b6a11713c35c02/680f52c61791aa8addbecd66_TML_Pillar%203%202024%20Final.pdf	live	pdf	build_tandem.py:-;build_tandem.py:P3_2024_URL;build_tandem.py:RWA_BREAKDOWN_SOURCES
https://cdn.prod.website-files.com/62b1c54534b6a11713c35c02/6a1da906ea626c65de0ea1b6_TML_Pillar%203%202025%20Final.pdf	live	pdf	build_tandem.py:-;build_tandem.py:P3_2025_URL;build_tandem.py:RWA_BREAKDOWN_SOURCES
https://cdn.prod.website-files.com/6435124ea79f72c265f72807/6489c5a09d3686a31e3ae73d_Monument_Bank_Limited_2020_Annual_Report.pdf	live	pdf	build_monument_bank.py:-;build_monument_bank.py:P3_SOURCES;build_monument_bank.py:WEB_AR20_URL
https://cdn.prod.website-files.com/6435124ea79f72c265f72807/65168a20ee9b129fb0cb9fe3_Monument%20Bank%20Pillar%203%20Report.pdf	live	pdf	build_monument_bank.py:-;build_monument_bank.py:P3_22_URL;build_monument_bank.py:P3_SOURCES
