bank,frn,cluster_id,cluster_label,insufficient_data,CET1 Ratio_value,Tier 1 Ratio_value,Total Capital Ratio_value,Leverage Ratio_value,LCR_value,NSFR_value,CET1 Ratio_year,Tier 1 Ratio_year,Total Capital Ratio_year,Leverage Ratio_year,LCR_year,NSFR_year,CET1 Ratio_imputed,Tier 1 Ratio_imputed,Total Capital Ratio_imputed,Leverage Ratio_imputed,LCR_imputed,NSFR_imputed
METHODIST CHAPEL AID,204508,1,high Tier 1 Ratio / high CET1 Ratio,0,52.88,52.88,52.88,35.4,835.0,182.0,FY2023,FY2023,FY2023,FY2023,FY2023,FY2023,0,0,0,0,0,0
METRO BANK,488982,0,low Tier 1 Ratio / low CET1 Ratio,0,12.8,16.6,18.9,7.9,427.0,169.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
MIZUHO INTERNATIONAL,119256,0,low Tier 1 Ratio / low CET1 Ratio,0,20.0,20.0,20.0,4.2,268.7,122.5,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
MONUMENT BANK,849724,0,low Tier 1 Ratio / low CET1 Ratio,0,20.0,19.47,44.0,3.9,589.0,560.0,FY2024,,FY2022,FY2024,FY2024,FY2024,0,1,0,0,0,0
MONZO,730427,1,high Tier 1 Ratio / high CET1 Ratio,0,55.92,55.92,56.67,15.53,1178.76,843.98,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
MORGAN STANLEY BANK INTERNATIONAL,195430,1,high Tier 1 Ratio / high CET1 Ratio,0,42.6,42.6,58.9,30.3,412.0,263.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
NATIONAL BANK OF EGYPT UK,204520,0,low Tier 1 Ratio / low CET1 Ratio,0,16.31,16.31,19.28,11.6,418.0,194.0,FY2024,FY2024,FY2024,FY2024,FY2024,FY2024,0,0,0,0,0,0
NATIONAL BANK OF KUWAIT INTERNATIONAL,171532,0,low Tier 1 Ratio / low CET1 Ratio,0,20.45,20.45,20.45,13.21,497.0,120.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
NATIONAL WESTMINSTER BANK PLC,121878,0,low Tier 1 Ratio / low CET1 Ratio,0,11.2,13.4,16.2,4.2,151.0,137.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
NATWEST MARKETS,121882,0,low Tier 1 Ratio / low CET1 Ratio,0,18.4,23.0,26.0,5.0,198.0,121.0,FY2025,FY2025,FY2025,FY2025,FY2025,FY2025,0,0,0,0,0,0
